positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.082,0.037,0.716,127,14,48,54,11
0.062,0.029,0.64,447,70,106,222,49
0.138,0.039,0.706,110,20,38,36,16
0.106,0.029,0.673,26,1,13,10,2
0.086,0.044,0.731,86,14,26,30,16
0.065,0.074,0.808,56,2,17,29,8
0.051,0.028,0.711,186,31,54,85,16
0.06,0.051,0.798,110,15,41,43,11
0.098,0.009,0.821,28,4,9,10,5
0.081,0.033,0.746,57,4,26,15,12
0.096,0.033,0.838,30,2,11,12,5
0.055,0.078,0.711,32,4,9,11,8
0.113,0.037,0.85,20,3,7,10,0
0.094,0.055,0.789,32,3,10,14,5
0.065,0.012,0.875,42,4,13,18,7
0.037,0.025,0.787,20,0,8,8,4
0.107,0.043,0.705,55,8,19,23,5
0.078,0.047,0.758,129,17,44,46,22
0.069,0.027,0.687,607,85,184,263,75
0.062,0.062,0.7,40,5,14,12,9
0.027,0.023,0.793,32,3,10,14,5
0.05,0.046,0.732,35,4,11,15,5
0.078,0.038,0.738,116,14,33,50,19
0.091,0.05,0.734,80,13,26,29,12
0.034,0.023,0.716,22,3,7,10,2
0.028,0.09,0.715,18,1,7,7,3
0.114,0.076,0.747,109,16,38,38,17
0.087,0.039,0.84,90,11,30,42,7
0.132,0.056,0.715,72,12,24,23,13
0.092,0.048,0.658,183,34,47,88,14
0.052,0.044,0.415,196,24,27,132,13
0.098,0.05,0.819,60,10,19,21,10
0.074,0.045,0.74,142,18,45,62,17
0.066,0.035,0.793,151,17,52,60,22
0.067,0.062,0.729,77,16,19,35,7
0.047,0.046,0.412,222,25,36,145,16
0.051,0.042,0.692,56,6,18,26,6
0.055,0.029,0.71,34,8,9,16,1
0.059,0.023,0.746,70,10,23,24,13
0.075,0.006,0.719,20,2,6,11,1
0.273,0.023,0.667,27,4,11,8,4
0.038,0.038,0.839,152,13,53,59,27
0.045,0.057,0.671,352,32,111,182,27
0.045,0.028,0.672,192,26,49,100,17
0.119,0.054,0.78,21,5,7,6,3
0.085,0.023,0.665,22,0,9,10,3
0.097,0.028,0.806,101,11,29,41,20
0.129,0.044,0.73,31,5,8,14,4
0.09,0.043,0.739,47,8,12,19,8
0.057,0.079,0.742,123,26,24,65,8
0.073,0.026,0.659,248,43,77,118,10
0.054,0.034,0.889,44,5,16,18,5
0.065,0.051,0.789,190,21,49,104,16
0.13,0.005,0.781,24,4,3,12,5
0.091,0.028,0.781,40,4,18,10,8
0.104,0.083,0.738,53,10,16,19,8
0.106,0.025,0.744,40,5,14,16,5
0.089,0.051,0.83,66,9,24,23,10
0.079,0.037,0.685,65,12,18,26,9
0.026,0.039,0.81,151,28,35,84,4
0.049,0.06,0.587,23,1,9,9,4
0.049,0.045,0.799,56,9,19,20,8
0.122,0.052,0.733,43,10,11,18,4
0.044,0.005,0.826,48,7,18,18,5
0.069,0.043,0.757,214,19,62,100,33
0.065,0.028,0.833,27,7,4,16,0
0.048,0.06,0.759,98,9,41,35,13
0.065,0.046,0.752,146,16,59,56,15
0.115,0.047,0.727,271,41,76,134,20
0.074,0.051,0.793,49,7,21,12,9
0.009,0.038,0.828,96,16,15,59,6
0.073,0.12,0.641,24,5,7,10,2
0.038,0.042,0.705,56,9,17,28,2
0.081,0.024,0.85,110,7,46,41,16
0.078,0.03,0.767,193,26,48,97,22
0.091,0.04,0.714,174,21,55,74,24
0.03,0.01,0.118,38,2,1,34,1
0.085,0.052,0.762,60,8,19,28,5
0.062,0.075,0.704,113,17,41,40,15
0.07,0.025,0.611,329,41,79,193,16
0.087,0.048,0.681,49,7,15,20,7
0.073,0.053,0.75,338,43,124,123,48
0.039,0.033,0.516,194,27,44,105,18
0.102,0.04,0.767,22,2,12,8,0
0.101,0.04,0.819,98,17,28,38,15
0.032,0.014,0.159,78,4,7,67,0
0.07,0.012,0.756,43,4,20,14,5
